endpoint_tested_here,metric_category,source_target,input,quantity,calculation_level,aggregation,source_selected_or_defined,matches_source_patient_construction,source_formula,n_patients,n_values,values_per_patient,responder_median,nonresponder_median,responder_higher_auc,separation_auc,responder_direction,raw_p,holm_adjusted_p,adjustment_family,significant_after_holm_0_05,permutations,seed
immediate,published EEG response score,sustained response,POST awake + POST sleep,R1,patient-based,mean of two POST awake and two POST sleep clips,True,True,4.765*POST-sleep entropy - 7.786*POST-awake DFA,50,50,1,31.326238240858903,27.076672587595212,0.8472222222222222,0.8472222222222222,higher,1.7999982000018e-05,0.000251999748000252,16 paper-derived tests within endpoint,True,1000000,20260914
immediate,published EEG response score,sustained response,PRE awake,R0,patient-based,mean of two PRE awake clips,True,True,-2.361*PRE-awake DFA - 0.051*PRE-awake PLI,50,50,1,0.09302333390409845,-0.6072821600747909,0.6614583333333334,0.6614583333333334,higher,0.059792940207059796,0.35875764124235876,16 paper-derived tests within endpoint,False,1000000,20260914
immediate,published duration-adjusted response probability,sustained response,POST awake + POST sleep,P1,patient-based,mean of two POST awake and two POST sleep clips,True,True,sigmoid(-37.433 - 0.571*duration + 4.765*entropy - 7.781*DFA),50,50,1,0.00044798670887514537,5.0400638471467324e-06,0.8559027777777778,0.8559027777777778,higher,1.4999985000015e-05,0.000224999775000225,16 paper-derived tests within endpoint,True,1000000,20260914
immediate,published duration-adjusted response probability,sustained response,PRE awake,P0,patient-based,mean of two PRE awake clips,True,True,sigmoid(2.010 - 0.455*duration + R0),50,50,1,0.6328518949317787,0.44565581240444435,0.7152777777777778,0.7152777777777778,higher,0.011551988448011552,0.09532990467009533,16 paper-derived tests within endpoint,False,1000000,20260914
immediate,published interval-change analysis,sustained response,PRE + POST awake,POST - PRE awake DFA,patient-based,difference between patient-level study means,True,True,POST feature - PRE feature,50,50,1,-0.19721533499999044,-0.08317302901914404,0.4097222222222222,0.5902777777777778,lower,0.3008776991223009,0.9026330973669027,16 paper-derived tests within endpoint,False,1000000,20260914
immediate,published interval-change analysis,sustained response,PRE + POST awake,POST - PRE awake PLI,patient-based,difference between patient-level study means,True,True,POST feature - PRE feature,50,50,1,6.725146062672138,2.1929822862148285,0.5217013888888888,0.5217013888888888,higher,0.8062531937468063,1.0,16 paper-derived tests within endpoint,False,1000000,20260914
immediate,published interval-change analysis,sustained response,PRE + POST sleep,POST - PRE sleep entropy,patient-based,difference between patient-level study means,True,True,POST feature - PRE feature,50,50,1,0.5200281030406742,0.07072246020328343,0.7170138888888888,0.7170138888888888,higher,0.010628989371010629,0.09532990467009533,16 paper-derived tests within endpoint,False,1000000,20260914
immediate,published relapse metric,relapse time among immediate responders,POST awake + POST sleep,rho,patient-based,mean of two POST awake and two POST sleep clips,True,True,4.008*POST-awake DFA - 1.661*POST-sleep entropy,50,50,1,-11.42605220537871,-9.596711405480082,0.18055555555555555,0.8194444444444444,lower,0.000111999888000112,0.0013439986560013439,16 paper-derived tests within endpoint,True,1000000,20260914
sustained,individual qEEG feature,response,POST awake,beta DFA intercept,clip-based,one clip,True,False,,50,100,2,-0.4399151798381731,-0.0964980090006974,0.2313311688311688,0.7686688311688312,lower,0.0001439998560001,0.003023996976003,24 individual-feature tests within endpoint,True,1000000,20260913
sustained,individual qEEG feature,response,POST awake,beta Shannon entropy,clip-based,one clip,False,False,,50,100,2,5.90502110655064,5.955233062195189,0.4926948051948052,0.5073051948051948,lower,0.9253510746489252,1.0,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,individual qEEG feature,response,POST awake,delta PLI connectivity,clip-based,one clip,False,False,,50,100,2,8.187134563922882,8.479532226920128,0.437702922077922,0.562297077922078,lower,0.4286915713084286,1.0,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,individual qEEG feature,response,POST sleep,beta DFA intercept,clip-based,one clip,False,False,,50,100,2,-0.4749730965372338,-0.3442927473786134,0.3936688311688311,0.6063311688311688,lower,0.171056828943171,1.0,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,individual qEEG feature,response,POST sleep,beta Shannon entropy,clip-based,one clip,True,False,,50,100,2,5.987703297317139,5.413141754694621,0.8027597402597403,0.8027597402597403,higher,6.999993000007e-06,0.0001679998320001,24 individual-feature tests within endpoint,True,1000000,20260913
sustained,individual qEEG feature,response,POST sleep,delta PLI connectivity,clip-based,one clip,False,False,,50,100,2,8.187134563922882,21.052631735801697,0.3825081168831168,0.6174918831168832,lower,0.1353858646141353,1.0,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,individual qEEG feature,response,PRE awake,beta DFA intercept,clip-based,one clip,True,False,,50,100,2,-0.2107365082557046,0.0173242509459523,0.3449675324675325,0.6550324675324675,lower,0.042050957949042,0.756917243082757,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,individual qEEG feature,response,PRE awake,beta Shannon entropy,clip-based,one clip,False,False,,50,100,2,5.933917021805218,5.852915678166536,0.5478896103896104,0.5478896103896104,higher,0.5227644772355228,1.0,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,individual qEEG feature,response,PRE awake,delta PLI connectivity,clip-based,one clip,True,False,,50,100,2,5.263157933950424,12.865497171878816,0.3336038961038961,0.6663961038961039,lower,0.0295869704130295,0.5621524378475622,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,individual qEEG feature,response,PRE sleep,beta DFA intercept,clip-based,one clip,False,False,,50,100,2,-0.0859497304752092,0.1059095446919521,0.3847402597402597,0.6152597402597403,lower,0.1497208502791497,1.0,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,individual qEEG feature,response,PRE sleep,beta Shannon entropy,clip-based,one clip,False,False,,50,100,2,5.387816424859956,5.157822441413219,0.6383928571428571,0.6383928571428571,higher,0.0675809324190675,1.0,24 individual-feature tests within endpoint,False,1000000,20260913
